link,Subject,id,author
036414.html,[Rd] extending &quot;list&quot; in S4: loss of element names,36414,Vincent Carey 525-2265
036369.html,[Rd] IAWK  iAsiaWorks,36369,Lucille Abel
036516.html,[Rd] Legend to a heatmap,36516,Vasundhara Akkineni
036416.html,[Rd] saving PDF with multiple diagrams results in crash (PR#8569),36416,Alexander.Holzbach at ifr.uni-karlsruhe.de
036409.html,[Rd] Troubles with Fortran and C (was with the function rmultinom.c of the R's Random Number Generator),36409,Sophie Ancelet
036412.html,[Rd] Troubles with the function rmultinom.c of the R's Random Number Generator,36412,Sophie Ancelet
036477.html,[Rd]  ATLAS threaded 64 bit Opteron build for R: need -fPIC,36477,Amit Aronovitch
036488.html,[Rd] ATLAS threaded 64 bit Opteron build for R: need -fPIC,36488,Amit Aronovitch
036546.html,[Rd] Error message while installing quatreg in ox s (PR#8616),36546,ArresrSpam at bellsouth.net
036438.html,[Rd] R 2.2.1 installation trouble on SGI/Sun (PR#8575),36438,Atro.Tossavainen at helsinki.fi
036421.html,[Rd] [R] R compile on AIX 5.2,36421,Matthew Beason
036476.html,[Rd] R CMD build: &quot;Subdirectory 'R' contains invalid file names&quot;,36476,Henrik Bengtsson
036479.html,[Rd] R CMD build: &quot;Subdirectory 'R' contains invalid file names&quot;,36479,Henrik Bengtsson
036503.html,[Rd] MinGW and the ld bug,36503,Henrik Bengtsson
036509.html,[Rd] MinGW and the ld bug,36509,Henrik Bengtsson
036544.html,[Rd] file.info() on WinXP/NTFS &gt; 2Gb,36544,Henrik Bengtsson
036548.html,[Rd] file.info() on WinXP/NTFS &gt; 2Gb,36548,Henrik Bengtsson
036396.html,[Rd] a generic 'attach'?,36396,Bill.Venables at csiro.au
036399.html,[Rd] a generic 'attach'?,36399,Bill.Venables at csiro.au
036492.html,[Rd] Arguments of 'transform',36492,Bill.Venables at csiro.au
036497.html,[Rd] Arguments of 'transform',36497,Bill.Venables at csiro.au
036338.html,[Rd] an unpleasant interaction of environments and generic functions,36338,Ross Boylan
036339.html,[Rd] an unpleasant interaction of environments and generic	functions,36339,Ross Boylan
036428.html,[Rd] S4 documentation,36428,Ross Boylan
036581.html,[Rd] profiling C code,36581,Ross Boylan
036426.html,[Rd] match gets confused by S4 objects,36426,John Chambers
036579.html,[Rd] changes in r-devel for S3/S4 objects,36579,John Chambers
036381.html,[Rd] pbinom with size argument 0 (PR#8560),36381,Peter Dalgaard
036408.html,[Rd] pbinom with size argument 0 (PR#8560),36408,Peter Dalgaard
036398.html,[Rd] a generic 'attach'?,36398,Peter Dalgaard
036481.html,[Rd] ?bquote,36481,Peter Dalgaard
036486.html,[Rd] Accuracy of dnorm (PR#8586),36486,Peter Dalgaard
036494.html,[Rd] Arguments of 'transform',36494,Peter Dalgaard
036608.html,[Rd] PR#6614,36608,Peter Dalgaard
036676.html,[Rd] PR#6614,36676,Peter Dalgaard
036370.html,[Rd] Interfacing C-code (gets and printf) under WINDOWS (Visual C++),36370,Renard Didier
036673.html,[Rd] PR#6614,36673,Bill Dunlap
036565.html,[Rd] R CMD config --cppflags buglet,36565,Dirk Eddelbuettel
036570.html,[Rd] R CMD config --cppflags buglet,36570,Dirk Eddelbuettel
036573.html,[Rd] R CMD config --cppflags buglet,36573,Dirk Eddelbuettel
036576.html,[Rd] R CMD config --cppflags buglet,36576,Dirk Eddelbuettel
036578.html,[Rd] R CMD config --cppflags buglet,36578,Dirk Eddelbuettel
036661.html,"[Rd] Rcpp, best method for linking to",36661,Dirk Eddelbuettel
036666.html,[Rd] R-Project build system: DESTDIR support,36666,Dirk Eddelbuettel
