link,Subject,id,author
053797.html,[Rd] validObject throws non-caught error when slot doesn't exist,53797,Patrick Aboyoun
053820.html,[Rd] Floating point precision / guard digits? (PR#13771),53820,Liviu Andronic
053825.html,[Rd] V2.9.0 changes [Sec=Unclassified],53825,"Antonio, Fabio Di Narzo"
053875.html,[Rd] beginner's guide to C++ programming with R packages?,53875,Whit Armstrong
053622.html,[Rd] Recommendations for a quick UI.,53622,Thomas Baier
053892.html,[Rd] beginner's guide to C++ programming with R packages?,53892,Douglas Bates
053881.html,"[Rd] Robust, platform independent method to check for python",53881,Carlos J. Gil Bellosta
053614.html,[Rd] formal argument &quot;envir&quot; matched by multiple actual	arguments,53614,Henrik Bengtsson
053616.html,[Rd] formal argument &quot;envir&quot; matched by multiple actual	arguments,53616,Henrik Bengtsson
053668.html,"[Rd] function(x,	dim=dim(x)) { str(dim) } =&gt; recursive default argument 	reference",53668,Henrik Bengtsson
053669.html,"[Rd] function(x,	dim=dim(x)) { str(dim) } =&gt; recursive default 	argument reference",53669,Henrik Bengtsson
053713.html,[Rd] CRAN build/checks: Dependencies on non-CRAN packages?,53713,Henrik Bengtsson
053714.html,[Rd] Suggestion: Dimension-sensitive attributes,53714,Henrik Bengtsson
053716.html,[Rd] CRAN build/checks: Dependencies on non-CRAN packages?,53716,Henrik Bengtsson
053718.html,[Rd] CRAN build/checks: Dependencies on non-CRAN packages?,53718,Henrik Bengtsson
053724.html,[Rd] CRAN build/checks: Dependencies on non-CRAN packages?,53724,Henrik Bengtsson
053752.html,[Rd] formal argument &quot;envir&quot; matched by multiple actual	arguments,53752,Henrik Bengtsson
053815.html,[Rd] Flag '#' in sprintf() format string &quot;%#x&quot;?,53815,Henrik Bengtsson
053845.html,[Rd] V2.9.0 changes [Sec=Unclassified],53845,Henrik Bengtsson
053593.html,[Rd] Recommendations for a quick UI.,53593,Alex Bokov
053618.html,[Rd] install.packages hangs RGui with frozen rpwd process at bottom of process tree (PR#13734),53618,Ben Bolker
053621.html,[Rd] The default position of plot title,53621,Ben Bolker
053712.html,[Rd] Reduce: extra args wishlist?,53712,Ben Bolker
053731.html,[Rd] Reduce: extra args wishlist?,53731,Ben Bolker
053919.html,[Rd] S4 class redefinition,53919,Ross Boylan
053920.html,[Rd] S4 class redefinition,53920,Ross Boylan
053818.html,[Rd] Flag '#' in sprintf() format string &quot;%#x&quot;?,53818,G&#246;ran Brostr&#246;m
053889.html,[Rd] when prompt() throws an error...,53889,Vincent Carey
053803.html,[Rd] validObject throws non-caught error when slot doesn't exist,53803,John Chambers
053804.html,[Rd] validObject throws non-caught error when slot doesn't exist,53804,John Chambers
053854.html,[Rd] check stats fail | part III,53854,Evan Cooch
053857.html,[Rd] check stats fail | part III,53857,Evan Cooch
053859.html,[Rd] 2.9.0 and make check errors | mystery deepens,53859,Evan Cooch
053860.html,[Rd] ready to toss the towel | lapack and 2.9.0,53860,Evan Cooch
053861.html,[Rd] proper link to ACML  blas | compiling 2.9.0,53861,Evan Cooch
053862.html,[Rd] can't use ATLAS  or ACML | 2.9.0,53862,Evan Cooch
053602.html,[Rd] Recommendations for a quick UI.,53602,Kevin R. Coombes
053841.html,[Rd] Quotations (was Re:  V2.9.0 changes [Sec=Unclassified]),53841,Kevin R. Coombes
053923.html,[Rd] Matrix with random numbers,53923,F&#225;bio Corr&#234;a
053650.html,[Rd] Vectorize fails for function with ... arglist,53650,Peter Dalgaard
053782.html,[Rd] Inverting a square matrix using solve() with LAPACK=TRUE (PR#13762),53782,Peter Dalgaard
053838.html,[Rd] V2.9.0 changes [Sec=Unclassified],53838,Peter Dalgaard
053847.html,[Rd] compile and install R @ one user defined directory?	(PR#13779),53847,Peter Dalgaard
053608.html,[Rd] reference counting bug: overwriting for loop 'seq' variable,53608,William Dunlap
053629.html,[Rd] setdiff bizarre,53629,William Dunlap
053633.html,[Rd] setdiff bizarre,53633,William Dunlap
053639.html,[Rd] reference counting bug related to break and next in loops,53639,William Dunlap
053653.html,"[Rd] Print bug for matrix(list(NA_complex_, ...))",53653,William Dunlap
053654.html,"[Rd] Print bug for matrix(list(NA_complex_, ...))",53654,William Dunlap
053656.html,"[Rd] Print bug for matrix(list(NA_complex_, ...))",53656,William Dunlap
053662.html,[Rd] reference counting bug related to break and next in loops,53662,William Dunlap
053736.html,[Rd] reference counting bug related to break and next in loops,53736,William Dunlap
053753.html,[Rd] reference counting bug related to break and next in loops,53753,William Dunlap
053759.html,[Rd] .doTrace problem with eval.parent(substitute(expr)) vs. lazy	evaluation of expr,53759,William Dunlap
053636.html,[Rd] statutes of R Foundation,53636,Christophe Dutang
053737.html,[Rd] cran task view,53737,Christophe Dutang
053740.html,[Rd] cran task view,53740,Christophe Dutang
053710.html,[Rd] Qs on calling R from C,53710,Dirk Eddelbuettel
053739.html,[Rd] cran task view,53739,Dirk Eddelbuettel
053867.html,[Rd] Problem making the manuals (make dvi and make pdf),53867,Dirk Eddelbuettel
053902.html,[Rd] Installing DLL elsewhere than in \libs?,53902,Dirk Eddelbuettel
053743.html,[Rd] Can't get F77_CALL(dgemm) to work  [SEC=UNCLASSIFIED],53743,Daniel Elazar
053887.html,[Rd] bug in Rf_PrintValue ?,53887,Seth Falcon
053772.html,[Rd] calling handlers within R_tryEval,53772,Romain Francois
053780.html,[Rd] calling handlers within R_tryEval,53780,Romain Francois
053792.html,[Rd] R_parseVector and syntax error [was: error messages while parsing with rniParse],53792,Romain Francois
053799.html,[Rd] R_parseVector and syntax error [was: error messages while parsing with rniParse],53799,Romain Francois
053801.html,[Rd] R_parseVector and syntax error [was: error messages while parsing with rniParse],53801,Romain Francois
053883.html,"[Rd] Robust, platform independent method to check for python",53883,Romain Francois
053899.html,[Rd] active bindings and ls.str,53899,Romain Francois
053906.html,[Rd] active bindings and ls.str,53906,Romain Francois
053909.html,[Rd] active bindings and ls.str,53909,Romain Francois
053910.html,[Rd] progress bar,53910,Romain Francois
053905.html,[Rd] active bindings and ls.str,53905,Thomas Friedrichsmeier
053908.html,[Rd] active bindings and ls.str,53908,Thomas Friedrichsmeier
053911.html,[Rd] active bindings and ls.str,53911,Thomas Friedrichsmeier
053726.html,[Rd] &quot;R CMD check&quot; does not find a mistake,53726,Christophe Genolini
053727.html,[Rd] Inheritance before ANY...,53727,Christophe Genolini
053761.html,[Rd] &quot;median&quot; accepting ordered factor,53761,Christophe Genolini
053786.html,[Rd] Argument as.integer(NA) to a function C,53786,Christophe Genolini
053822.html,[Rd] Floating point precision / guard digits? (PR#13771),53822,Charles Geyer
053735.html,[Rd] .Rhistory created with wrong permissions (PR#13752),53735,Paul Gilbert
053844.html,[Rd] Matrix vignette error in June 24 RC,53844,Paul Gilbert
053897.html,[Rd] S4 and connection slot [Sec=Unclassified],53897,Paul Gilbert
053896.html,[Rd] Installing DLL elsewhere than in \libs?,53896,Philippe Grosjean
053665.html,[Rd] proposed changes to RSiteSearch,53665,Gabor Grothendieck
053670.html,[Rd] proposed changes to RSiteSearch,53670,Gabor Grothendieck
053672.html,[Rd] proposed changes to RSiteSearch,53672,Gabor Grothendieck
053675.html,[Rd] proposed changes to RSiteSearch,53675,Gabor Grothendieck
053677.html,[Rd] proposed changes to RSiteSearch,53677,Gabor Grothendieck
053692.html,[Rd] Show location of workspace image on quit?,53692,Gabor Grothendieck
053700.html,[Rd] Show location of workspace image on quit?,53700,Gabor Grothendieck
053732.html,[Rd] Reduce: extra args wishlist?,53732,Gabor Grothendieck
053748.html,[Rd] bundle deprecation,53748,Gabor Grothendieck
053756.html,[Rd] Rprof loses all system() time,53756,Gabor Grothendieck
053769.html,[Rd] read.csv,53769,Gabor Grothendieck
053771.html,[Rd] read.csv,53771,Gabor Grothendieck
053813.html,[Rd] Special characters in Rd example section will cause errors,53813,Gabor Grothendieck
053840.html,[Rd] loadNamespace and useDynLib,53840,Gabor Grothendieck
053882.html,"[Rd] Robust, platform independent method to check for python",53882,Gabor Grothendieck
053885.html,"[Rd] Robust, platform independent method to check for python",53885,Gabor Grothendieck
053747.html,[Rd] bundle deprecation,53747,Robin Hankin
053754.html,[Rd] formal argument &quot;envir&quot; matched by multiple actual	arguments,53754,Kasper Daniel Hansen
053823.html,[Rd] Floating point precision / guard digits? (PR#13771),53823,Kasper Daniel Hansen
053833.html,[Rd] loadNamespace and useDynLib,53833,Kasper Daniel Hansen
053770.html,[Rd] read.csv,53770, (Ted Harding)
053715.html,[Rd] CRAN build/checks: Dependencies on non-CRAN packages?,53715,Kurt Hornik
