link,Subject,id,author
067061.html,[Rd] What algorithm is R using to calculate mean?,67061,Prof J C Nash (U30A)
066968.html,[Rd] &quot;Proper&quot; way to use a &quot;hidden&quot; function in an R-package?,66968,Gabriel Becker
066910.html,[Rd] tests conditioned on CRAN?,66910,Henrik Bengtsson
066989.html,[Rd] Redirect system2 stdout to a file on windows,66989,Henrik Bengtsson
067062.html,[Rd] R -e &quot;&quot; crashes on Windows (but not Rterm -e &quot;&quot;),67062,Henrik Bengtsson
067063.html,[Rd] Core dump with R --encoding=foo -e 1 (non-existing encoding),67063,Henrik Bengtsson
067065.html,[Rd] Core dump with R --encoding=foo -e 1 (non-existing	encoding),67065,Henrik Bengtsson
067066.html,[Rd] R -e &quot;&quot; crashes on Windows (but not Rterm -e &quot;&quot;),67066,Henrik Bengtsson
067075.html,[Rd] Adding text comments to graphics device output files?,67075,Henrik Bengtsson
067077.html,[Rd] Adding text comments to graphics device output files?,67077,Henrik Bengtsson
067017.html,[Rd] parLapplyLB: Load balancing?,67017,Ulrich Bodenhofer
066963.html,[Rd] robustbase compilation problem: probably boneheaded? maybe	32-bit?,66963,Ben Bolker
067000.html,"[Rd] SweaveParseOptions, quoted commas, and knitr vignettes",67000,Ben Bolker
067002.html,"[Rd] SweaveParseOptions, quoted commas, and knitr vignettes",67002,Ben Bolker
067006.html,[Rd] On the mechanics of function evaluation and argument	matching,67006,Ben Bolker
066997.html,[Rd] Problem following an R bug fix to integrate(),66997,Hans W Borchers
067013.html,[Rd] Problem following an R bug fix to integrate(),67013,Hans W Borchers
067048.html,[Rd] package compilation on OSX 10.8 -- error compiling Fortran library for architecture i386,67048,Jonathan Callahan
066918.html,[Rd] cache most-recent dispatch,66918,John Chambers
066928.html,[Rd] Cross-platform linking of a simple front-end,66928,Jon Clayden
066955.html,[Rd] Cross-platform linking of a simple front-end,66955,Jon Clayden
066957.html,[Rd] Is difftime a &quot;class&quot;,66957,Kevin R. Coombes
066921.html,[Rd] Ctrl+C in R will terminate the child process which is spawned	by using &quot;pipe&quot;,66921,William Dunlap
066936.html,[Rd] should the text for RIGHT_ASSIGN be -&gt; in getParseData()?,66936,William Dunlap
066938.html,[Rd] should the text for RIGHT_ASSIGN be -&gt; in getParseData()?,66938,William Dunlap
066941.html,[Rd] should the text for RIGHT_ASSIGN be -&gt; in getParseData()?,66941,William Dunlap
067044.html,[Rd] cbind error with check.names,67044,William Dunlap
066960.html,[Rd] R CMD INSTALL and file permission settings,66960,Dirk Eddelbuettel
066975.html,[Rd] &quot;Proper&quot; way to use a &quot;hidden&quot; function in an R-package?,66975,Dirk Eddelbuettel
066977.html,[Rd] unmapped memory core dump with pure R program?,66977,Dirk Eddelbuettel
066981.html,[Rd] unmapped memory core dump with pure R program?,66981,Dirk Eddelbuettel
066984.html,[Rd] unmapped memory core dump with pure R program?,66984,Dirk Eddelbuettel
066995.html,[Rd] linking modules - add needed libraries,66995,Dirk Eddelbuettel
066998.html,[Rd] unmapped memory core dump with pure R program?,66998,Dirk Eddelbuettel
067056.html,[Rd] Building R with Cairo,67056,Dirk Eddelbuettel
066958.html,[Rd] probable bugs in stats::loglin calculation of pearson chisq,66958,Michael Friendly
066909.html,[Rd] tests conditioned on CRAN?,66909,Spencer Graves
066965.html,[Rd] &quot;Proper&quot; way to use a &quot;hidden&quot; function in an R-package?,66965,Jonathan Greenberg
066967.html,[Rd] &quot;Proper&quot; way to use a &quot;hidden&quot; function in an R-package?,66967,Jonathan Greenberg
066986.html,[Rd] Redirect system2 stdout to a file on windows,66986,Gabor Grothendieck
066988.html,[Rd] Redirect system2 stdout to a file on windows,66988,Gabor Grothendieck
066951.html,[Rd] The *tmp* variable,66951,Bert Gunter
066952.html,[Rd] The *tmp* variable,66952,Bert Gunter
066994.html,[Rd] linking modules - add needed libraries,66994,MAYER Hans
067053.html,[Rd] What algorithm is R using to calculate mean?,67053,Zach Harrington
067059.html,[Rd] What algorithm is R using to calculate mean?,67059,Zach Harrington
067010.html,[Rd] question about Makeconf and nvcc/CUDA,67010,"Hodgess, Erin"
067014.html,[Rd] question about Makeconf and nvcc/CUDA,67014,"Hodgess, Erin"
067018.html,[Rd] question about Makeconf and nvcc/CUDA,67018,"Hodgess, Erin"
067020.html,[Rd] question about Makeconf and nvcc/CUDA,67020,"Hodgess, Erin"
067022.html,[Rd] question about Makeconf and nvcc/CUDA,67022,"Hodgess, Erin"
067023.html,[Rd] question about Makeconf and nvcc/CUDA,67023,"Hodgess, Erin"
067012.html,[Rd] Problem following an R bug fix to integrate(),67012,J. R. M. Hosking
067028.html,[Rd] Problem with distributing data in package.,67028,Simon Knapp
067031.html,[Rd] Problem with distributing data in package.,67031,Simon Knapp
067033.html,[Rd] Problem with distributing data in package.,67033,Simon Knapp
067024.html,[Rd] R CMD check --outdir=path gives unknown option '--outdir',67024,Scott Kostyshak
067026.html,[Rd] R CMD check --outdir=path gives unknown option '--outdir',67026,Scott Kostyshak
067027.html,[Rd] Posting Guide: changed link and other comment,67027,Scott Kostyshak
067046.html,[Rd] Alpha channel in colorRamp() and colorRampPalette(),67046,Alberto Krone-Martins
067016.html,[Rd] question about Makeconf and nvcc/CUDA,67016,Duncan Temple Lang
067019.html,[Rd] question about Makeconf and nvcc/CUDA,67019,Duncan Temple Lang
067021.html,[Rd] question about Makeconf and nvcc/CUDA,67021,Duncan Temple Lang
067076.html,[Rd] Adding text comments to graphics device output files?,67076,Duncan Temple Lang
066919.html,[Rd] Ctrl+C in R will terminate the child process which is spawned	by using &quot;pipe&quot;,66919,Rong lI Li
066927.html,[Rd] Ctrl+C in R will terminate the child process which is spawned by using &quot;pipe&quot;,66927,Rong lI Li
066991.html,[Rd] CRAN and www.r-project.org with limited availability today,66991,Uwe Ligges
066923.html,[Rd] RFC: a &quot;safe&quot; uniroot() function for future R,66923,Martin Maechler
067034.html,[Rd] Posting Guide: changed link and other comment,67034,Martin Maechler
067035.html,[Rd] robustbase compilation problem: probably boneheaded? maybe	32-bit?,67035,Martin Maechler
066915.html,[Rd] Problem with anova and the new abbreviation restrictions,66915,Peter Meilstrup
066945.html,[Rd] should the text for RIGHT_ASSIGN be -&gt; in getParseData()?,66945,Peter Meilstrup
066949.html,[Rd] The *tmp* variable,66949,Peter Meilstrup
066950.html,[Rd] The *tmp* variable,66950,Peter Meilstrup
066953.html,[Rd] does subset.data.frame need to accept extra arguments?,66953,Peter Meilstrup
